,Song_name,red-hot-chili-peppers
20,bunker hill   ,"""She... She... She..."", ""Off the bus, onto the train. Getting all to high, gotta head on 5th and main. I look like you, I feel the same. You don't even know my name."", ""I got this town all to myself. Well everybody's gone to the everybody shelf."", ""Are you coming through? Do you want me to take your body? It would be so cool to be cool with you - I said lordy lordy."", ""I'd run like blood into the drain. Rainin' daily, medley stays up in my brain. A dirty sun will burn away. Do you even want to stay?"", ""Are you coming through? Do you want me to Take your body? It would be so cool to be cool with you - I said lordy lordy. Where'd you get that bruise? Do you want me to take your body? I must still, taking your bod away."", ""Are you coming through? Do you want me to take your body? It would be so cool to be cool with you - I said lordy lordy. Where'd you get that bruise? Do you want me to take your body? I must still, taking your bod away."""
21,how strong   ,"""How strong is my love? How strong is my love? How strong is my love? How wrong could it be?"", ""I'll walk a water mile Rest a while to kiss your smile Laugh and roll and after a while I'll begin to like your style"", ""How strong is my love? How wrong could it be? She turned me down this time She turned me down Lord, I can't believe she She turned me down She turned me inside out She turned me down All I ask of you Is turn me up this time"", ""How strong is my love? How strong is my love? How strong is my love? How wrong could it be?"", ""Come on over show me your Your glow soul I do adore I'll be sure to drop my guard Give it up it's not that hard"", ""How strong is my love? How wrong could it be? She turned me down this time She turned me down Lord, I can't believe she She turned me down She turned me inside out She turned me down All I ask of you Is turn me up this time"", ""How strong is my love? How strong is my love? How strong is my love? How wrong could it be?"", ""Tested life but that's alright Darker than the darkest night Living hell and pollocks at you Getting new down your back"", ""How strong is my love? How wrong could it be?"""
22,sir psycho sexy   ,"""A long, long, long, long time ago Before the wind before the snow Lived a man, lived a man I know Lived a freak of nature named Sir Psycho"", ""Sir Psycho Sexy, that is me Sometimes I find I need to scream"", ""He's a freak of nature But we love him so He's a freak of nature But we let him go"", ""Deep inside the Garden of Eden Standing there with my hard on bleedin' There's a devil in my dick and some demons in my semen Good God no that would be treason Believe me Eve she gave me good reason Booty lookin' too good not to be squeezin' Creamy beaver hotter than a fever I'm a givin' 'cause she's the receiver I won't and I don't hang up until I please her Makin' her feel like an over archiever I take it away for a minute just to tease her Then I give it back a little bit deeper"", ""Sir Psycho, Sir Psycho, yea, he's the man that I met one time Sir Psycho, Sir Psycho, yea, he's the man that left me blind Sir Psycho, Sir Psycho, yea, he's the man he's the man he's theman Sir Psycho, Sir Psycho, yea, yea"", ""He's a freak of nature But we love him so He's a freak of nature But we let him go"", ""I got stopped by a lady cop in my automobile She said \""Get out and spread your legs\"" And then she tried to cop a feel That cop she was all dressed in blue Was she pretty? Boy, I'm tellin' you She stuck my butt with her big black stick I said \""What's up?\"" now suck my dick Like a ram getting ready to jam the lamb She whimpered just a little when she felt my hand On her crotch so very warm I could feel her getting wet through her uniform Proppin' her up on the black and white Unzipped and slipped \""Ooo that's tight\"" I swaited her like no swat team can Turned a cherry pie right into jam"", ""Sir Psycho, Sir Psycho, yea, he's the man that I met one time Sir Psycho, Sir Psycho, yea, he's the man that left me blind Sir Psycho, Sir Psycho, yea, he's the man he's the man he's theman Sir Psycho, Sir Psycho, yea, yea"", ""Hello, young woman that I love Pretty punk rock mamma that I'm thinking of Hold me naked if you will In your arms in your legs in your pussy I'd kill To be with you, to kiss with you, I do miss you I love you"", ""Lay me down, lay me down lay, me down lay me down Lay me down, lay me down lay, me down lay me down"", ""Descending waves of graceful pleasure For your love there is no measure Her curves they bend with subtle splendor"", ""Now I lay me down to sleep I pray the funk will make me freak If I should die before I waked Allow me Lord to rock out naked Bored by the ordinary time to take a trip Calling up a little girl with a bull whip Lickety split go snap \""snap\"" Girl gettin' off all in my lap The tallest tree the sweetest sap Blowin' my ass right of the map Ooh, and it's nice out here I think I'll stay for a while"""
23,pea   ,"""I'm a little pea I love the sky and the trees I'm a teeny tiny little ant Checkin' out this and that I am nothing Ahhhhh Ahhhhh So you have nothing to hide And I'm a pacifist So I can fuck your shit up Oh yeah, I'm small Oh yeah, I'm small"", ""Fuck you, asshole You homophobic redneck dick Big and tough and macho You can kick my ass"", ""So fucking what? So fucking what? So fucking what? So fucking what?"""
24,otherside   ,"""How long, how long will I slide Separate my side I don't I don't believe it's bad Slittin' my throat"", ""It's all I ever I heard your voice through a photograph I thought it up and brought up the past Once you know you can never go back"", ""I've got to take it on the otherside Centuries are what it meant to me A cemetery where I married a thief Stranger things could never change my mind I've got to take it on the otherside Take it on the otherside Take it on"", ""Take it on How long, how long will I slide Separate my side I don't I don't believe it's bad"", ""Slittin' my throat It's all I ever Pour my life into a paper cup The ashtray's full and I'm spillin' my guts"", ""She wants to know am I still a slut I've got to take it on the otherside A scarlet starlet and she's in my bed A candidate for a soul mate bled Push the trigger and pull the thread I've got to take it on the otherside Take it on the otherside"", ""Take it on Take it on How long, how long will I slide Separate my side I don't"", ""I don't believe it's bad Slittin' my throat It's all I ever Turn me on, take me for a hard ride Burn me out, leave me on the otherside I yell and tell it that"", ""It's not my friend I tear it down I tear it down And then it's born again How long, how long will I slide Separate my side I don't I don't believe it's bad Slittin' my throat It's all I ever (How long, how long) I don't I don't believe it's bad Slittin' my throat It's all I ever"""
25,scar tissue   ,"""Scar tissue that I wish you saw Sarcastic Mister Know-it-all Close your eyes and I'll kiss you 'Cause with the birds I'll share"", ""With the birds I'll share this lonely view With the birds I'll share this lonely view"", ""Push me up against the wall Young Kentucky girl in a push-up bra Fallin' all over myself To lick your heart and taste your health 'Cause with the birds I'll share this lonely view With the birds I'll share this lonely view With the birds I'll share this lonely view"", ""Blood loss in a bathroom stall A southern girl with a scarlet drawl Wave good-bye to ma and pa 'Cause with the birds I'll share"", ""With the birds I'll share this lonely view With the birds I'll share this lonely view"", ""Soft spoken with a broken jaw Step outside but not to brawling Autumn's sweet we call it fall I'll make it to the moon if I have to crawl And with the birds I'll share this lonely view"", ""With the birds I'll share this lonely view With the birds I'll share this lonely view"", ""Scar tissue that I wish you saw Sarcastic Mister Know-it-all Close your eyes and I'll kiss you 'Cause with the birds I'll share With the birds I'll share this lonely view With the birds I'll share this lonely view With the birds I'll share this lonely view"""
26,love trilogy   ,"""Say goodbye to Oz and everything you own California dreamin' is a Pettibon LA's screaming you're my home Vanity is blasted but it's rarely fair I could smell the Prozac in your pretty hair Got a lot of friends, but is anyone there"", ""I don't know but it's been said Your heart is stronger than your head And this location is my home"", ""Stick n move you're living in a quick world Got a heavy laugh for such a tiny girl Born into it that's for sure"", ""Rivers get connected, so much stronger than expected well Sick love comes to wash us away Prisons of perspective, how your vision gets corrected and Sick love is my modern cliche"", ""People talk and tell you what you want to hear Do you really need another souvenir Super heroes tend to disappear Fame is just a trick you see an empty glass Leave you feeling thirsty and so very fast Chase your tail my baby it'll be your last"", ""I don't know but it's been said Your heart is stronger than your head And this location is my home"", ""Rivers get connected so much stronger than expected well Sick love comes to wash us away Prisons of perspective, how your vision gets corrected and Sick love is my modern cliche"", ""Rivers get connected so much stronger than expected well Sick love comes to wash us away Prisons of perspective, how your vision gets corrected and Sick love is my modern cliche"", ""Openly defective is the lover you elected and A portrait she was bound to portray."""
27,rivers of avalon   ,"""Deep inside these sleeping shallows Far away where no one goes now Take my place in Gordon Spacer Tv star that no one knows now Deep deep mystery is talking to me She's a giver of constant animation All around and ready to make a new formation You're the reason I'm in this world"", ""I don't believe in everything I see Rivers of Avalon Your supernatural energy Part of my scenery What I belong to is your ecstacy Rivers of Avalon Your faith gone wavering is key"", ""The clone of my own lonliness Has got to be what am I known to Little darlin in your starlin Loving ways that I've succumbed to Deep deep mystery is talking to me She's a giver of constant adulation All around and ready to make a new formation You're the reason I'm in this world"", ""I don't believe in everything I see Rivers of Avalon Your supernatural energy Part of my scenery What I belong to is your ecstacy Rivers of Avalon Your faith gone wavering is key Wadda you see in me?"", ""Deep deep mystery is talking to me She's a giver of constant animation All around and ready to make a new formation Your the reason I'm in this world"", "" I don't believe in everything I see Rivers of Avalon Your supernatural energy Part of my scenery What I belong to is your ecstacy Rivers of Avalon Your faith gone wavering is key"", ""I don't believe in everything I see Rivers of Avalon Your supernatural energy All out in me"""
28,goodbye angels   ,"""Suicide a month before I met you Deep regrets, I never could forget you Somehow you made your way to my decade Ayo ayo ayo ayo my girl"", ""In the sun, I see you with your guard down Number one, you're moving to a hard town Do not dismiss the promise that you made me Ayo ayo ayo ayo, my time"", ""Overkill you took another red pill On the sheet is everything that you spilled We are the ones you want to know right now Ayo ayo ayo ayo, black light"", ""Come again to murder your report card Just a friend to kiss you in the court yard You are the one I want to be stuck with Ayo ayo ayo ayo big fight"", ""Favor Some Way too young Slave to none Way too young"", ""Say goodbye my love I can see it in your soul Say goodbye my love Thought that I could make you whole Let your lover sail Death was made to fail"", ""Sticky fingers find the way to take her Crumple up another piece of paper I know your days are numbered when it comes to Ayo ayo ayo ayo this life"", ""Slip away into the solar system Straighter rays, you find a way to twist them Some like it dark and now I know where to Ayo ayo ayo ayo find you"", ""Serpentine, I think she was an Aussie Bloody hell, a common kamikaze Give up the ghost before you go under Ayo ayo ayo ayo wonder"", ""Kicking hard and looking for a rescue Watch me starve was never to impress you I would have killed the part of me to have you Ayo ayo ayo ayo story"", ""Say goodbye my love I can see it in your soul Say goodbye my love Thought that I could make you whole Let your lover sail Death was made to fail Babe I know love is a funny thing Born to die in the eternal spring Your flickering is more than just a small flame Welcome to the party, it's a ball game Pick up the stick it's time to get hit with Ayo ayo ayo ayo my bat Suicide is never going to save you When I cried, it was because I came too You are the one I want to know right now Ayo ayo ayo ayo kiss this."""
29,blackeyed blonde   ,"""Pumpin' the blood through the heart of New Orleans She's the mystic heat of the Bourbon Street dream She's just made out of flesh and bones But let me tell you little boy you better leave her alone"", ""Leroy Brown thought he was bad too Till she left him floatin' in the old bayou She's the kind of girl, she's built like a bomb She's the blackeyed, blackeyed, blackeyed blonde, get down"", ""That's right She's blackeyed She's blonde"", ""That blackeyed beauty with the golden crotch French electric sex a cock shocking swamp fox Heaten queen of sleeze she's hot to box But let me tell you little boy she'll clean your clock"", ""A slick and sly spy stuck in the muck of the moat Blew his mind to find a diamond in the boat Double O dooms day for Mr. James Bond She's the blackeyed, blackeyed, blackeyed blonde, get down"", ""Blackeyed blonde She's blonde"", ""Pumpin' the blood through the heart of New Orleans She's the mystic heat of the Bourbon Street dream She's just made out of flesh and bones But let me tell you little boy you better leave her alone Leroy Brown thought he was bad too Till she left him floatin' in the old bayou She's the kind of girl, she's built like a bomb She's the blackeyed, blackeyed, blackeyed blonde She's the blackeyed blackeyed, blackeyed blonde, get down"""
30,special secret song inside party on your pussy   ,"""Red Hot Chili Peppers Miscellaneous Special Secret Song Inside (Party On Your Pussy) Version 1 Well, my young lady, she lives three houses away she claims that she can hear moaning and screaming to me fuckin' you every night well, let me say \""hey\"""", ""I want to party on your pussy, baby I want to party on, party on your pussy I want to party on your pussy, baby I want to party on your pussy, yeah, yeah, yeah"", ""Struck by lust in a telephone booth busted by a cop, he said \""That's uncool\"" he said that he hears moaning and screeming to me fuckin' you every night well, let me say \""hey\"""", ""I want to party on your pussy, baby I want to party on, party on your pussy I want to party on your pussy, baby I want to party on your pussy, yeah, yeah, yeah"", ""I want to party on your pussy, baby I want to party on your pussy I want to party on your pussy, baby I want to party on your pussy"", ""I want to party on your pussy, baby I want to party on your pussy I want to party on your little pussy, girl I want to party on your pussy"", ""Let me shine your diamond the girl got a scratch slap that cat have mercy"", ""I want to party on your pussy, baby I want to party on, party on your pussy I want to party on your pussy, baby I want to party on your pussy, yeah, yeah, yeah"", ""Special Secret Song Inside Version 2 Well my lady lady, she lives three houses away she claims that she can hear my baby screaming to me \""Fuck me Anthony, well Anthony\"""", ""I want to party on your pussy, baby I want to party on, party on your pussy I want to party on your pussy, baby I want to party on your pussy, yeah, yeah, yeah"", ""Struck by lust in a telephone booth busted by a cop, he said \""That's uncouth\"" he said that he can hear my baby screeming to me \""Fuck me Anthony, well Anthony\"""", ""I want to party on your pussy, baby I want to party on, party on your pussy I want to party on your pussy, baby I want to party on your pussy, yeah, yeah, yeah"", ""I want to party on your pussy, baby"", ""I want to party on your pussy I want to party on your pussy, baby I want to party on your pussy"", ""I want to party on your pussy, baby I want to party on your pussy I want to party on your little pussy, girl I want to party on your pussy"", ""Let me shine your diamond the girl got a scratch slap that cat have mercy"", ""I want to party on your pussy, baby I want to party on, party on your pussy I want to party on your pussy, baby I want to party on your pussy, yeah, yeah, yeah"", ""Special Secret Song Inside Version 3 1st verse:"", ""Well, my landlady, she lives 3 houses away. She claims that she can hear my baby screaming to me \""fuck me\"" every day, when I'm in the hay."", ""2nd verse:"", ""Struck by lust in a telephone booth. Busted by a cop; he said, \""that's uncool.\"" He said that she can hear my baby screaming to me \""fuck me\"" every day, when I'm in the hay."", ""And then the rest is agreed upon"""
31,ethiopia   ,"""\""We're rolling everybody, It starts with bass\"""", ""E I o I e I a"", ""When you give your love away You get a feeling for... E I o I e I a Live to love another day Even when you feel unsure. More and more I wanna raise! Raise my bar and raise your stay. E I o I e I a When I lie they're wide awake For my son I make Tell my boy I love him so"", ""Tell him so he know. Lost in Ethiopia Walk out in that road. E I o I e I a"", ""Something good gon' come your way Just look out your door. E I o I e I a Tell him what you wanna say No matter whatcha mad at girl. Tell my boy I love him so"", ""Tell him so he know. Lost in Ethiopia Walk out in that road. E I o I e I a"", ""Steal my heart to give away Make me wanna say. E I o I e I a You and I are so no same More and more and more each day. Tell my boy I love him so Tell him so he know. Lost in ethiopia Walk out in that road"""
